"adap-org/9810005","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Emergence and Growth of Complex Networks in Adaptive Systems","10 pages (including figures), 3 Postscript figures",,"10.1016/S0010-4655(99)00293-3","IISc-CTS/10/98","adap-org cond-mat nlin.AO",,"  We consider the population dynamics of a set of species whose network of
catalytic interactions is described by a directed graph. The relationship
between the attractors of this dynamics and the underlying graph theoretic
structures like cycles and autocatalytic sets is discussed. It is shown that
when the population dynamics is suitably coupled to a slow dynamics of the
graph itself, the network evolves towards increasing complexity driven by
autocatalytic sets. Some quantitative measures of network complexity are
described.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:48:48 GMT""}]","2009-10-30"
"astro-ph/9810241","Aled Wynne Jones","M.P. Hobson, R.B. Barreiro, L. Toffolatti, A.N. Lasenby, J.L. Sanz,
  A.W. Jones and F.R. Bouchet","The effect of point sources on satellite observations of the cosmic
  microwave background","12 pages, 9 figures, submitted to MNRAS",,"10.1046/j.1365-8711.1999.02546.x",,"astro-ph",,"  We study the effect of extragalactic point sources on satellite observations
of the cosmic microwave background (CMB). In order to separate the
contributions due to different foreground components, a maximum-entropy method
is applied to simulated observations by the Planck Surveyor satellite. In
addition to point sources, the simulations include emission from the CMB and
the kinetic and thermal Sunyaev-Zel'dovich (SZ) effects from galaxy clusters,
as well as Galactic dust, free-free and synchrotron emission. We find that the
main input components are faithfully recovered and, in particular, that the
quality of the CMB reconstruction is only slightly reduced by the presence of
point sources. In addition, we find that it is possible to recover accurate
point source catalogues at each of the Planck Surveyor observing frequencies.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:04:28 GMT""}]","2009-10-31"
"astro-ph/9810242","Andrew Lobanov","A.P.Lobanov, T.P.Krichbaum, A.Witzel, A.Kraus, J.A.Zensus, S.Britzen,
  K.Otterbein, C.A.Hummel, K.Johnston","VSOP imaging of S5 0836+710: a close-up on plasma instabilities in the
  jet","5 pages, 5 PostScript figures, LaTeX2e, A&A macros, A&A, accepted",,,"MPI-777","astro-ph",,"  The luminous high-redshift (z=2.17) quasar S5 0836+710 has been observed at
5GHz with the VSOP. We compare the properties of three images obtained from the
observation: a low-resolution ground array image (dynamic range 4600:1), a
full-resolution VSOP image (900:1), and an image made with only the space
baselines (200:1). The space baselines alone are sufficient for a reliable
recovery of the source structure, within the limits of the achieved spatial
sampling of the visibility data. The curved jet ridge line observed in the
images can be described by Kelvin-Helmholtz instabilities developing in a
relativistic outflow with the Mach number of about 6. This description holds on
the scales of up to 700h^-1 pc, and is shown to be consistent with variable
apparent speeds observed in the jet.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 16:39:09 GMT""}]","2007-05-23"
"astro-ph/9810243","Sally Laurent-Muehleisen","S. A. Laurent-Muehleisen, R. H. Becker, W. Brinkmann, J. Siebert, E.
  D. Feigelson, R. I. Kollgaard, G. D. Schmidt and P. S. Smith","Four New BL Lac Surveys: Sampling New Populations","4 pages, 3 postscript figures, To be published in the Proceedings of
  the conference ""BL Lac Phenomenon"" held in Turku, Finland, June 22-26, 1998",,,,"astro-ph",,"  The advent of large area deep radio and X-ray surveys is leading to the
creation of many new BL Lac samples. In particular, the ROSAT All-Sky, Green
Bank and FIRST surveys are proving to be rich sources of new BL Lacs. We will
discuss the methods used in four independent BL Lac searches based on these
surveys. Comparison of the broadband spectral energy distributions of these BL
Lacs with those of previously known objects clearly points to the existence of
a large previously unrecognized population of objects with characteristics
intermediate between those exhibited by Low and High energy peaked BL Lacs.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 17:08:50 GMT""}]","2007-05-23"
"astro-ph/9810244","Richard J. Rand","R. J. Rand, S. D. Lord, J. L. Higdon","The Eastern Arm of M83 Revisited: High-Resolution Mapping of 12CO 1-0
  Emission","Accepted for publication in ApJ. 25 pages, 5 figures. Manuscript in
  LaTeX, figures in pdf. Fig 3 in color",,"10.1086/306897",,"astro-ph",,"  We have used the Owens Valley Millimeter Array to map 12CO (J=1-0) along a
3.5 kpc segment of M83's eastern spiral arm at resolutions of 6.5""x3.5"", 10"",
and 16"". The CO emission in most of this segment lies along the sharp dust lane
demarking the inner edge of the spiral arm, but beyond a certain point along
the arm the emission shifts downstream from the dust lane to become better
aligned with the young stars seen in blue and H-beta images. This morphology
resembles that of the western arm of M100. Three possibilities, none of which
is wholly satisfactory, are considered to explain the deviation of the CO arm
from the dust lane: heating of the CO by UV radiation from young stars, heating
by low-energy cosmic rays, and a molecular medium consisting of two (diffuse
and dense) components which react differently to the density wave. Regardless,
the question of what CO emission traces along this spiral arm is a complicated
one. Strong tangential streaming is observed where the arm crosses the
kinematic major axis of the galaxy, implying that the shear becomes locally
prograde in the arms. Inferred from the streaming is a very high gas surface
density of about 230 solar masses/pc**2 and an arm-interarm contrast greater
than 2.3 in the part of the arm near the major axis. Using two different
criteria, we find that the gas at this location is well above the threshold for
gravitational instability -- much more clearly so than in either M51 or M100.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 19:06:18 GMT""},{""version"":""v2"",""created"":""Fri, 16 Oct 1998 16:05:07 GMT""}]","2009-10-31"
"astro-ph/9810245","Henry A. Kobulnicky","Henry A. Kobulnicky (UC Santa Cruz) and John Dickey (University of
  Minnesota)","Detection of Cold Atomic Clouds in the Magellanic Bridge","25 pages, uses AASTeX and psfig; Accepted for Publication in the
  Astronomical Journal",,"10.1086/300741",,"astro-ph",,"  We report a detection of cold atomic hydrogen in the Magellanic Bridge using
21-cm absorption spectroscopy toward the radio source B0312-770. With a column
density of N_HI=1.2E20 cm^-2, a maximum absorption optical depth of tau=0.10
and a maximum 21-cm emission brightness temperature of 1.4 K, this line of
sight yields a spin temperature, T_s, between 20 K and 40 K. H I 21-cm
absorption and emission spectroscopy toward 7 other low column density
sightlines on the periphery of the LMC and SMC reveal absorption toward one
additional background radio source behind the SMC with tau=0.03. The data have
typical sensitivities of sigma_tau=0.005 to 0.070 in absorption and
sigma_{T_B}=0.03 K in emission. These data demonstrate the presence of a cold
atomic phase which is probably accompanied by molecular condensations in the
tenuous interstellar medium of the Bridge region. Young OB stars observed in
the Magellanic Bridge could form ""in situ"" from these cold condensations rather
than migrate from regions of active star formation in the main body of the SMC.
The existence of cold condensations and star formation in the Magellanic Bridge
might be understood as a small scale version of the mechanism that produces
star formation in the tidal tails of interacting galaxies.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 22:17:14 GMT""}]","2009-10-31"
"astro-ph/9810246","Idit Zehavi","Idit Zehavi (HU/Fermilab)","Large-Scale Mass Power Spectrum from Peculiar Velocities","5 pages, 2 figures. To appear in Proceedings of the MPA/ESO
  Conference ""Evolution of Large Scale Structure: From Recombination to
  Garching""",,,"FERMILAB-Conf-98/318-A","astro-ph",,"  The power spectrum of mass density fluctuations is estimated from the Mark
III and the SFI catalogs of peculiar velocities by applying a maximum
likelihood analysis, using parametric models for the power spectrum and for the
errors. Generalized CDM models with and without COBE normalization are used.
The applications to the two different data sets give consistent results. The
general result is a relatively high amplitude of the power spectrum, eg, at
k=0.1 h/Mpc we find P(k) \Omega^{1.2} = (4.5+/-2.0)X10^3 (Mpc/h)^3,
corresponding to \sigma_8 \Omega^{0.6} = 0.85+/-0.2. Model-dependent
constraints on combinations of cosmological parameters are obtained for
families of COBE-normalized CDM models. These can roughly be approximated by
\Omega h_{60}^\mu n^\nu = 0.6+/-0.2, where \mu=1.3 and \nu=3.7, 2.0 for flat
\Lambda CDM models with and without tensor fluctuations respectively. For open
CDM, without tensor fluctuations, the powers are \mu=0.9 and \nu=1.4. The
quoted error-bars reflect the 90% formal likelihood uncertainty for each model
and the variance among different models and between catalogs. This is a brief
review of a collaborative project (for more details, see Zaroubi et al 1997,
Freudling et al 1998). Preliminary constraints in the \Omega-\Lambda plane are
presented as well.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 23:35:51 GMT""}]","2007-05-23"
"astro-ph/9810247","Kohji Yoshikawa","Kohji Yoshikawa (1), Yasushi Suto (2) ((1) Dpt. of Astronomy, Kyoto
  University, (2) Dpt. of Physics and RESCEU, University of Tokyo)","Reconstructing the radial profiles of gas density and temperature in
  clusters of galaxies from high-resolution X-ray and radio observations","12 pages, LaTeX. 2 figures. accepted by ApJ","Astrophys.J. 513 (1999) 549","10.1086/306908","RESCEU-36/98, UTAP-296/98","astro-ph",,"  We describe a non-parametric method to reconstruct gas density and
temperature profiles of galaxy clusters from observations of X-ray surface
brightness, emission-weighted temperature and the y-parameter through the
Sunyaev-Zel'dovich effect. This method is based on the inversion of the
projected profiles under the spherically symmetric approximation, which is
independent of the equation of state of cluster gas and does not assume that
the gas is in hydrostatic equilibrium. In particular we examine the reliability
of the reconstruction method assuming a few theoretical models for cluster gas
and assigning the statistical errors expected for future X-ray and radio
observations. We also discuss briefly the effect of non-sphericity on the basis
of simulated clusters.
","[{""version"":""v1"",""created"":""Thu, 15 Oct 1998 23:22:58 GMT""},{""version"":""v2"",""created"":""Wed, 4 Nov 1998 08:27:45 GMT""}]","2009-10-31"
"astro-ph/9810248","Benjamin D. Wandelt","Benjamin D. Wandelt, Eric Hivon and Krzysztof M. Gorski","CMB anisotropy power spectrum statistics","Typo corrected. 5 pages, 4 figures. To appear in ""Evolution of Large
  Scale Structure"", Garching, A. J. Banday et al. (Eds.) (1998). Also available
  at http://www.tac.dk/~wandelt/downloads.html and
  http://www.mpa-garching.mpg.de/~cosmo/contributions.html",,,,"astro-ph",,"  Much attention has been given to the problem of estimating cosmological
parameters from the $C_l$ measured by future experiments. Many of the
approaches which are being used either invoke poorly controlled approximations
or are computationally expensive. We derive exact results as well as fast and
highly accurate approximations for mapping a theoretical model onto the
observed power spectrum coefficients and computing their statistical
properties. These results obtain from an analytic framework which applies for
any azimuthally symmetric sky coverage regardless of the fraction of the sky
observed by the experiment.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:02:07 GMT""},{""version"":""v2"",""created"":""Mon, 19 Oct 1998 16:49:29 GMT""}]","2007-05-23"
"astro-ph/9810249","Yoshiaki Taniguchi","Yoshiaki Taniguchi, Akira Yoshino, Youichi Ohyama, and Shingo Nishiura","Optical Versus Mid-Infrared Spectroscopic Classification of
  Ultraluminous Infrared Galaxies","15 pages, 2 tables, and 3 eps figures. The Astrophysical Journal
  (Part 1), in press",,"10.1086/306992",,"astro-ph",,"  The origin of huge infrared luminosities of ultraluminous infrared galaxies
(ULIGs) is still in question. Recently, Genzel et al. made mid-infrared (MIR)
spectroscopy of a large number of ULIGs and found that the major energy source
in them is massive stars formed in the recent starburst activity; i.e., $\sim$
70% -- 80% of the sample are predominantly powered by the starburst. However,
it is known that previous optical spectroscopic observations showed that the
majority of ULIGs are classified as Seyferts or LINERs (low-ionization nuclear
emission-line regions). In order to reconcile this difference, we compare types
of emission-line activity for a sample of ULIGs which have been observed in
both optical and MIR. We confirm the results of previous studies that the
majority of ULIGs classified as LINERs based on the optical emission-line
diagnostics turn to be starburst-dominated galaxies based on the MIR ones.
Since the MIR spectroscopy can probe more heavily-reddened, inner parts of the
ULIGs, it is quite unlikely that the inner parts are powered by the starburst
while the outer parts are powered by non-stellar ionization sources. The most
probable resolution of this dilemma is that the optical emission-line nebulae
with the LINER properties are powered predominantly by shock heating driven by
the superwind activity; i.e., a blast wave driven by a collective effect of a
large number of supernovae in the central region of galaxy mergers.
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 01:25:38 GMT""}]","2009-10-31"
"astro-ph/9810251","Massimo Cocchi","M. Cocchi, A. Bazzano, L. Natalucci, P. Ubertini, J. Heise, J.M.
  Muller, M.J.S. Smith and J.J.M. in 't Zand","X-ray bursts from 1RXS J170930.2-263927 = XTE J1709-267","ApJ Letters, accepted Oct 13, 1998",,"10.1086/311740",,"astro-ph",,"  We report evidence of type-I X-ray bursting activity from the transient 1RXS
J170930.2-263927 when it was in outburst early 1997. This identifies the source
as a probable low-mass X-ray binary containing a neutron star. The error boxes
of the detected bursts and of the persistent emission, as obtained with the
Wide Field Cameras on board the BeppoSAX satellite, rule out an association
with the proposed radio counterpart (Hjellming & Rupen 1997).
","[{""version"":""v1"",""created"":""Fri, 16 Oct 1998 14:48:11 GMT""}]","2009-10-31"
