"astro-ph/9802205","Bernard Scott Gaudi","B. Scott Gaudi, Andrew Gould","Spectrophotometric Resolution of Stellar Atmospheres with Microlensing","20 pages, 5 figures, submitted to the Astrophysical Journal",,"10.1086/306867","OSU-TA-2/98","astro-ph",,"  Microlensing is a powerful tool for studying stellar atmospheres because as
the source crosses regions of formally infinite magnification (caustics) the
surfaceof the star is resolved, thereby allowing one to measure the radial
intensity profile, both photometrically and spectroscopically. However, caustic
crossing events are relatively rare, and monitoring them requires intensive
application of telescope resources. It is therefore essential that the
observational parameters needed to accurately measure the intensity profile are
quantified. We calculate the expected errors in the recovered radial intensity
profile as a function of the unlensed flux, source radius, spatial resolution
the recovered intensity profile, and caustic crossing time for the two
principle types of caustics: point-mass and binary lenses. We demonstrate that
for both cases there exist simple scaling relations between these parameters
and the resultant errors. We find that the error as a function of the spatial
resolution of the recovered profile, parameterized by the number of radial
bins, increases as $N_R^{3/2}$, considerably faster than the naive $N_R^{1/2}$
expectation. Finally, we discuss the relative advantages of binary
caustic-crossing events and point-lens events. Binary events are more common,
easier to plan for, and provide more homogeneous information about the stellar
atmosphere. However, a sub-class of point-mass events with low impact
parameters can provide dramatically more information provided that they can be
recognized in time to initiate observations.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 18:55:37 GMT""}]","2009-10-30"
"astro-ph/9802206","N. D. Ramesh Bhat","N. D. Ramesh Bhat, Yashwant Gupta, A. Pramesh Rao (National Centre for
  Radio Astrophysics, Tata Institute of Fundamental Research, Pune, India)","Study of the Local Interstellar Medium using Pulsar Scintillation","5 pages, 3 figures","Lect.Notes Phys. 506 (1999) 211","10.1007/BFb0104721","01/97","astro-ph",,"  We present here the results from an extensive scintillation study of twenty
pulsars in the dispersion measure (DM) range 3 - 35 pc cm^-3 carried out using
the Ooty Radio Telescope, to investigate the distribution of ionized material
in the local interstellar medium (LISM). Our analysis reveals several anomalies
in the scattering strength, which suggest that the distribution of scattering
material in the Solar neighborhood is not uniform. Our model suggests the
presence of a low density bubble surrounded by a shell of much higher density
fluctuations. We are able to put some constraints on geometrical and scattering
properties of such a structure, and find it to be morphologically similar to
the Local Bubble known from other studies.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 19:29:09 GMT""}]","2009-10-30"
"astro-ph/9802207","Robert Link","Robert Link and Michael J. Pierce","Cosmological Parameters from Multiple-arc Gravitational Lensing Systems
  I: smooth lensing potentials","AAS Latex. 19 pages, 9 postscript figures",,"10.1086/305892","98-101","astro-ph",,"  We describe a new approach for the determination of cosmological parameters
using gravitational lensing systems with multiple arcs, exploiting the fact
that a given cluster can produce multiple arcs from sources over a broad range
in redshift. The coupling between the critical radius of a single arc and the
projected mass density of the lensing cluster can be avoided by considering the
relative positions of two or more arcs. Cosmological sensitivity appears
through the angular size-redshift relation. We consider simulated data
constructed using a more general form for the potential, realistic sources, and
an assumed cosmology and present a method for simultaneously inverting the lens
and extracting the cosmological parameters. The input data required are the
image and measured redshifts for the arcs. The technique relies upon the
conservation of surface brightness in gravitationally lensed systems. We find
that for a simple lens model our approach can recover the cosmological
parameters assumed in the construction of the simulated images.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 21:30:25 GMT""}]","2009-10-30"
"astro-ph/9802208","R. Kantowski","R. Kantowski","The Effects of Inhomogeneities on Evaluating the mass parameter
  $\Omega_m$ and the cosmological constant $\Lambda$","39 pages including 8 figures and captions. To appear in ApJ 507 (Nov.
  1998)",,"10.1086/306355",,"astro-ph",,"  Analytic expressions for distance-redshift relations which have been
corrected for the effects of inhomogeneities in the
Friedmann-Lema\^itre-Robertson-Walker (FLRW) mass density are given in terms of
Heun functions and are used to illustrate the significance of inhomogeneities
on a determination of the mass parameter $\Omega_m$ and the cosmological
constant $\Lambda$. The values of these parameters inferred from a given set of
observations depend on the fractional amount of matter in inhomogeneities and
can significantly differ from those obtained by using the standard
magnitude-redshift ($m$-$z$) result for pure dust FLRW models. As an example a
determination of $\Omega_m$ made by applying the homogeneous distance-redshift
relation to SN 1997ap at $z=0.83$ could be as much as 50% lower than its true
value.
","[{""version"":""v1"",""created"":""Sun, 15 Feb 1998 00:14:56 GMT""},{""version"":""v2"",""created"":""Wed, 2 Sep 1998 03:58:12 GMT""}]","2009-10-30"
"cond-mat/9802158","Andrei","Andrei Shelankov","Magnetic Force Exerted by the Aharonov-Bohm Line","5 pages, RevTeX. Discussions of paraxial approximation to the
  Aharonov-Bohm solution (Cornu spiral) and S-matrix, are extended. References
  are added",,,,"cond-mat.mes-hall cond-mat.str-el cond-mat.supr-con physics.flu-dyn quant-ph",,"  The problem of the scattering of a charge by the Aharonov-Bohm (AB) flux line
is reconsidered in terms of finite width beams. It is shown that despite the
left-right symmetry in the AB scattering cross-section, the charge is scattered
asymmetrically. The asymmetry (i.e. magnetic force) originates from almost
forward scattering within the angular size of the incident wave. In the
paraxial approximation, the real space solution to the scattering problem of a
beam is found as well as the scattering S-matrix. The Boltzmann kinetics and
the Landau quantization in a random AB array are considered.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 21:29:23 GMT""},{""version"":""v2"",""created"":""Wed, 1 Apr 1998 19:29:22 GMT""},{""version"":""v3"",""created"":""Thu, 2 Apr 1998 16:35:49 GMT""}]","2016-08-31"
"cond-mat/9802159","Alexei Kaminski","A. Kaminski, I. L. Aleiner, and L. I. Glazman","Mesoscopic charge fluctuations in the Coulomb blockade regime","4 pages",,"10.1103/PhysRevLett.81.685",,"cond-mat.mes-hall",,"  We study mesoscopic fluctuations of the differential capacitance of a dot
connected to a lead by a single-mode quantum channel with adjustable
conductance G. We show that the amplitude of the fluctuations reaches maximum
at a partially opened channel, G\lesssim e^2/\pi\hbar. Parametric correlations
of fluctuations at different values of the applied voltage and magnetic field
can be studied experimentally, and we find the corresponding correlation
functions for the differential capacitance.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 23:08:31 GMT""}]","2009-10-31"
"cond-mat/9802160","Igor Aleiner","Hae-Young Kee, I.L. Aleiner, and B.L. Altshuler","Theory of Tunneling Anomaly in Superconductor above Paramagnetic Limit","29 pages, 17 figures included","Phys. Rev. B 58, 5757 (1998)","10.1103/PhysRevB.58.5757",,"cond-mat.supr-con cond-mat.dis-nn",,"  We study the tunneling density of states (DoS) in the superconducting systems
driven by Zeeman splitting $E_Z$ into the paramagnetic phase. We show that,
even though the BCS gap disappears, superconducting fluctuations cause a strong
DoS singularity in the vicinity of energies $-E^*$ for electrons polarized
along the magnetic field and $E^*$ for the opposite polarization. The position
of this singularity $E^*=\case{1}{2}(E_Z + \sqrt{E_Z^2- \Delta^2})$ (where
$\Delta$ is BCS gap at $E_Z=0$) is universal. We found analytically the shape
of the DoS for different dimensionality of the system. For ultra-small grains
the singularity has the shape of the hard gap, while in higher dimensions it
appears as a significant though finite dip. The spin-orbit scattering, and the
orbital magnetic field suppress the singularity. Our results are qualitatively
consistent with recent experiments in superconducting films.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 23:15:26 GMT""}]","2013-07-19"
"cond-mat/9802161","Juhao Wu","Juhao Wu, A. Widom (Northeastern University)","Quantum Interference and the Trapped Bose Condensed System","4 pages",,,"MQC-0020","cond-mat.stat-mech",,"  In experiments involving Bose condensed atoms trapped in magnetic bottles,
plugging the hole in the bottle potential with a LASER beam produces a new
potential with two minima, and thus a condensate order parameter (i.e. wave
function) with two maxima. When the trapping potential is removed and the
condensate explodes away from the trap, the two wave function maxima act as two
coherent sources which exhibit amplitude interference. A simplified theoretical
treatment of this experimental effect is provided by considering momentum
distributions.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 23:29:17 GMT""},{""version"":""v2"",""created"":""Wed, 25 Feb 1998 00:58:13 GMT""}]","2007-05-23"
"hep-ph/9802324","D. Indumathi","D. Indumathi, H.S. Mani, Anubha Rastogi (MRI, Allahabad, India)","An SU(3) model for octet baryon and meson fragmentation","24 pages LaTeX file including 11 postscript figure files","Phys.Rev.D58:094014,1998","10.1103/PhysRevD.58.094014","MRI-PHY/P980238","hep-ph",,"  The production of the octet of baryons and mesons in e^+ e^- collisions is
analysed, based on considerations of SU(3) symmetry and a simple model for
SU(3) symmetry breaking in fragmentation functions. All fragmentation
functions, D_q^h(x, Q^2), describing the fragmentation of quarks into a member
of the baryon octet (and similarly for fragmentation into members of the meson
octet) are expressed in terms of three SU(3) symmetric functions, \alpha(x,
Q^2), \beta(x, Q^2), and \gamma(x, Q^2). With the introduction of an SU(3)
breaking parameter, \lambda, the model is successful in describing
hadroproduction data at the Z pole. The fragmentation functions are then
evolved using leading order evolution equations and good fits to currently
available data at 34 GeV and at 161 GeV are obtained.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 16:59:34 GMT""}]","2014-11-17"
"hep-ph/9802325","Joao Pacheco B. C. de Melo","J. P. B. C de Melo (Instituto de Fisica da Universidade de Sao Paulo),
  J.H.O. Sales, T. Frederico (Departamento de Fisica,ITA, Centro Tecnico
  Aeroespacial) and P.U. Sauer (Institute for Theoretical Physics, University
  Hannover)","Pairs in the light-front and covariance","8 pages latex,revtex. e-mail: pacheco@axpfep1.if.usp.br and
  tobias@fis.ita.cta.br","Nucl.Phys.A631:574c-579c,1998","10.1016/S0375-9474(98)00070-0",,"hep-ph",,"  The electromagnetic current of bound systems in the light-front is
constructed in the Breit-Frame, in the limit of momentum transfer
$q^+=(q^0+q^3)$ vanishing. In this limit, the pair creation term survives and
it is responsible for the covariance of the current. The pair creation term is
computed for the $j^+$ current of a spin one composite particle in the
Breit-frame. The rotational symmetry of $j^+$ is violated if the pair term is
not considered.
","[{""version"":""v1"",""created"":""Sat, 14 Feb 1998 17:28:01 GMT""}]","2010-11-19"
"math/9802132",,"Vadim A. Kaimanovich","The Poisson formula for groups with hyperbolic properties","34 pages, published version","Ann. of Math. (2) 152 (2000), no. 3, 659--692",,"Stony Brook IMS 1998/2; Dynamical Systems 2/15/98; Annals migration
  4/2001","math.DS math.GR",,"  The Poisson boundary of a group G with a probability measure \mu is the space
of ergodic components of the time shift in the path space of the associated
random walk. Via a generalization of the classical Poisson formula it gives an
integral representation of bounded \mu-harmonic functions on G. In this paper
we develop a new method of identifying the Poisson boundary based on entropy
estimates for conditional random walks. It leads to simple purely geometric
criteria of boundary maximality which bear hyperbolic nature and allow us to
identify the Poisson boundary with natural topological boundaries for several
classes of groups: word hyperbolic groups and discontinuous groups of
isometries of Gromov hyperbolic spaces, groups with infinitely many ends,
cocompact lattices in Cartan-Hadamard manifolds, discrete subgroups of
semi-simple Lie groups.
","[{""version"":""v1"",""created"":""Sun, 15 Feb 1998 00:00:00 GMT""},{""version"":""v2"",""created"":""Wed, 1 Nov 2000 00:00:00 GMT""}]","2007-05-23"
