"astro-ph/9809237","Patrick McDonald","Patrick McDonald and Jordi Miralda-Escude","Galaxy Formation and the Kinematics of Damped Lyman Alpha Systems","submitted to ApJ, 25 pages, 14 figures",,"10.1086/307397",,"astro-ph",,"  A model of damped lyman alpha systems is presented based on randomly moving
clouds in spherical halos. We use the Press-Schechter model for the abundance
of halos, and assume that each halo has a similar population of clouds, with
total mass and spatial distribution constrained to fit observations of the
column density distribution. We show that the kinematics of the multiple
absorbing components revealed in absorption profiles of the low-ionization
lines, presented by Prochaska & Wolfe, are consistent with our spherical halo
model.
  The presence of multiple absorbing components with a large covering factor,
combined with the small impact parameters of the systems predicted in our
analytical model and in numerical simulations, implies a high rate of energy
dissipation in cloud collisions. We calculate the rate of energy dissipation in
our model, and show that it is far greater than the rate at which energy can be
supplied by gravitational mergers of halos. This poses a problem for the model
of merging protogalactic clumps of Haehnelt et al., based on numerical
simulations. We also present new constraints on the amplitude of the power
spectrum in hierarchical theories required to account for the observed velocity
dispersion in the absorbers. We find that the linearly extrapolated rms
fluctuation on spheres of radius HR = 100 km/s at z=4 must be greater than
0.75. Although this limit is obtained only for our specific model of the
absorbing components, it should not be highly model-dependent because the
velocity dispersion of the absorbers is essentially determined by the velocity
dispersion of the halos where the gas is moving.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 16:58:32 GMT""}]","2009-10-30"
"astro-ph/9809238","Hume A. Feldman","D. Novikov, Hume A. Feldman and Sergei F. Shandarin (University of
  Kansas)","Minkowski Functionals and Cluster Analysis for CMB Maps","28 pages latex using aasms4 and epsfig. 11 postscript figures
  embedded. Minor Changes, to reflect the published version","Int.J.Mod.Phys.D8:291-306,1999","10.1142/S0218271899000225",,"astro-ph",,"  We suggest novel statistics for the CMB maps that are sensitive to
non-Gaussian features. These statistics are natural generalizations of the
geometrical and topological methods that have been already used in cosmology
such as the cumulative distribution function and genus. We compute the
distribution functions of the Partial Minkowski Functionals for the excursion
set above or bellow a constant temperature threshold. Minkowski Functionals are
additive and are translationally and rotationally invariant. Thus, they can be
used for patchy and/or incomplete coverage. The technique is highly efficient
computationally (it requires only O(N) operations, where N is the number of
pixels per one threshold level). Further, it allows to split large data sets
into smaller subsets. The full advantage of these statistics can be obtained
only on very large data sets. We apply it to the 4-year DMR COBE data corrected
for the Galaxy contamination as an illustration of the technique.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 17:02:30 GMT""},{""version"":""v2"",""created"":""Tue, 9 Feb 1999 17:47:28 GMT""},{""version"":""v3"",""created"":""Fri, 11 Jun 1999 17:44:09 GMT""}]","2011-05-10"
"astro-ph/9809239","Eli Dwek","E. Dwek (1) and R. G. Arendt (2) ((1) NASA/Goddard Space Flight
  Center, (2) Raytheon/STX)","A Tentative Detection of the Cosmic Infrared Background at 3.5 microns
  from COBE/DIRBE Observations","8 pages, AASTeX, 2 embedded EPS figures. Accepted for publication in
  ApJ Letters","Astrophys.J.508:L9-L12,1998","10.1086/311714",,"astro-ph",,"  Foreground emission and scattered light from interplanetary dust (IPD)
particles and emission from Galactic stellar sources are the greatest obstacles
for determining the cosmic infrared background (CIB) from diffuse sky
measurements in the ~ 1 to 5 micron range. We use ground-based observational
limits on the K-band intensity of the CIB in conjunction with skymaps obtained
by the Diffuse Infrared Background Experiment (DIRBE) on the COBE satellite to
reexamine the limits on the CIB at 1.25, 3.5, and 4.9 microns. Adopting a CIB
intensity of 7.4 nW m-2 sr-1 at 2.2 microns, and using the 2.2 micron DIRBE
skymap from which the emission from IPD cloud has been subtracted, we create a
spatial template of the Galactic stellar contribution to the diffuse infrared
sky. This template is then used to subtract the contribution of the diffuse
Galactic stellar emission from the IPD-emission-subtracted DIRBE skymaps. The
DIRBE 100 micron data are used to estimate the small contribution of emission
from interstellar dust at 3.5 and 4.9 microns. Our method significantly reduces
the errors associated with the subtraction of Galactic starlight, leaving only
the IPD emission component as the primary obstacle for the detection of the CIB
at these wavelengths. This analysis leads to a tentative detection of the CIB
at 3.5 microns. The cosmological implications of these results are discussed in
the paper.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 19:29:59 GMT""}]","2009-09-28"
"astro-ph/9809240","Dr. Robert D. Hoffman","R. D. Hoffman (1,2,3), S. E. Woosley (2,3,6), T. A. Weaver(2,3), T.
  Rauscher(4), and F.-K. Thielemann (4,5). ((1) Steward Obsv. Univ. Arizona;
  (2) UCO-Lick Obsv. UCSC.; (3) LLNL; (4) Univ. Basel, Switzerland; (5)
  ITP-UCSB; (6) MPA-Garching, Germany)","The Reaction Rate Sensitivity of Nucleosynthesis in Type II Supernovae","Latex, 43 pages, 15 figures. To appear Aug 20, 1999 in the
  Astrophysical Journal Revised text, Table 2 reflects production after decay,
  Table 3 is new. Main results and conclusions unchanged",,"10.1086/307568","UCO-LICK preprint no. 119","astro-ph",,"  We explore the sensitivity of the nucleosynthesis of intermediate mass
elements (28 < A < 80) in supernovae derived from massive stars to the nuclear
reaction rates employed in the model. Two standard sources of reaction rate
data (Woosley et al. 1978; and Thielemann et al. 1987) are employed in pairs of
calculations that are otherwise identical. Both include as a common backbone
the experimental reactions rates of Caughlan & Fowler (1988). Two stellar
models are calculated for each of two main sequence masses: 15 and 25 solar
masses. Each star is evolved from core hydrogen burning to a presupernova state
carrying an appropriately large reaction network, then exploded using a piston
near the edge of the iron core as described by Woosley & Weaver (1995). The
final stellar yields from the models calculated with the two rate sets are
compared and found to differ in most cases by less than a factor of two over
the entire range of nuclei studied. Reasons for the major discrepancies are
discussed in detail along with the physics underlying the two reaction rate
sets employed. The nucleosynthesis results are relatively robust and less
sensitive than might be expected to uncertainties in nuclear reaction rates,
though they are sensitive to the stellar model employed.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 22:34:14 GMT""},{""version"":""v2"",""created"":""Tue, 6 Apr 1999 23:59:40 GMT""}]","2009-10-30"
"astro-ph/9809241","Nelson Caldwell","Nelson Caldwell (SAO), Jim Rose (UNC) & Kristi Dendy (UNC)","On the Origins of Starburst and Post-Starburst Galaxies in Nearby
  Clusters","32 pages, 10 figures including 3 jpg images. To appear in the January
  1999 Astronomical Journal",,"10.1086/300679",,"astro-ph",,"  HST WFPC2 images in B (F450W) and I (F814W) have been obtained for three
starburst (SB) and two post-starburst (PSB) galaxies in the Coma cluster, and
for three such galaxies in the cluster DC2048-52. V (F555W) and I images for an
additional PSB galaxy in Coma have been extracted from the archive. Seven of
these galaxies were previously classified as E/S0 on the basis of ground-based
images, one as Sa, and the other as an irregular.
  The HST images reveal these SB/PSB galaxies to be heterogeneous in
morphology. Nevertheless a common theme is that many of them, especially the SB
galaxies, tend to have centralized spiral structure that appears simply as a
bright ``bulge''on ground-based images. In addition, while some PSB galaxies
exhibit distinct spiral structure, on the whole they have smoother morphologies
than the SB galaxies. The morphologies and luminosity profiles are generally
consistent with substantial starbursts in the form of centralized spiral
structure (the SB galaxies) which fade into smoother morphologies (the PSB
galaxies), with lingering spectroscopic evidence for past central starbursts.
An important point is that the PSB galaxies retain disks, i.e, they have not
evolved into spheroidal systems.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 22:39:39 GMT""}]","2009-10-30"
"astro-ph/9809242","Bradley S. Meyer","Bradley S. Meyer (1), Gail C. McLaughlin (2), and George M. Fuller (3)
  ((1) Clemson University, (2)University of Washington, (3) University of
  California, San Diego)","Neutrino Capture and r-Process Nucleosynthesis","20 pages, 17 figures, Submitted to Physical Review C","Phys.Rev.C58:3696-3710,1998","10.1103/PhysRevC.58.3696",,"astro-ph nucl-th",,"  We explore neutrino capture during r-process nucleosynthesis in
neutrino-driven ejecta from nascent neutron stars. We focus on the interplay
between charged-current weak interactions and element synthesis, and we
delineate the important role of equilibrium nuclear dynamics. During the period
of coexistence of free nucleons and light and/or heavy nuclei, electron
neutrino capture inhibits the r-process. At all stages, capture on free
neutrons has a larger impact than capture on nuclei. However, neutrino capture
on heavey nuclei by itself, if it is very strong, is also detrimental to the
r-process until large nuclear equilibrium clusters break down and the classical
neutron-capture phase of the r-process begins. The sensitivity of the r-process
to neutrino irradiation means that neutrino-capture effects can strongly
constrain the r-process site, neutrino physics, or both. These results apply
also to r-process scenarios other than neutrino-heated winds.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 22:58:51 GMT""}]","2008-11-26"
"astro-ph/9809243","Khokhlov","D.L. Khokhlov","On the evolution law of the universe","4 pages, LaTeX, to be presented at Texas 98",,,,"astro-ph",,"  The model of the homogenous and isotropic universe is considered in which the
coordinate system of reference is not defined by the matter but is a priori
specified. The scale factor of the universe changes following the linear law.
The scale of mass changes proportional to the scale factor of the universe. The
model under consideration avoids the flatness and horizon problems. The
predictions of the model is fitted to the observational constraints: Hubble
parameter, age of the universe and CMB data.
","[{""version"":""v1"",""created"":""Sat, 19 Sep 1998 15:22:59 GMT""}]","2007-05-23"
"cond-mat/9809244","Matthew B. Hastings","M. B. Hastings","Renormalization Group for Large N Strongly Commensurate Dirty Boson
  Model","16 pages, 4 figures, to be published in PRB","Phys.Rev. B60 (1999) 9755","10.1103/PhysRevB.60.9755",,"cond-mat.stat-mech",,"  The large N sigma model, in D<4 space-time dimensions, with disorder a
function of d space dimensions, is analyzed via a renormalization group
treatment. Critical exponents for average quantities are calculated, first to
lowest order and then to all orders, in $\epsilon=D-2 - d/2$. In particular, it
is found that $\nu d =2$. When D=d+1, this model is equivalent to a large N
limit of the strongly commensurate dirty boson problem.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 20:31:52 GMT""},{""version"":""v2"",""created"":""Mon, 28 Jun 1999 18:03:47 GMT""}]","2016-08-31"
"cond-mat/9809254","Sergei Lukyanov","S. Lukyanov","Correlation amplitude for the XXZ spin chain in the disordered regime","5 pages, harvmac.tex, one epsf figure","Phys.Rev. B59 (1999) 11163-11164","10.1103/PhysRevB.59.11163","RU-98-42","cond-mat.stat-mech hep-th nlin.SI solv-int",,"  We proposed an analytical expression for the amplitude defining the long
distance asymptotic of the correlation function <\sigma^z_k \sigma^z_{k+n}>.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 16:45:07 GMT""}]","2009-10-31"
"cond-mat/9809255","M. P. Anantram","M. P. Anantram and T. R. Govindan","Conductance of carbon nanotubes with disorder: A numerical study",,"Physical Review B volume 58, page 4882 (1998)","10.1103/PhysRevB.58.4882",,"cond-mat",,"  We study the conductance of carbon nanotube wires in the presence of
disorder, in the limit of phase coherent transport. For this purpose, we have
developed a simple numerical procedure to compute transmission through carbon
nanotubes and related structures. Two models of disorder are considered, weak
uniform disorder and isolated strong scatterers. In the case of weak uniform
disorder, our simulations show that the conductance is not significantly
affected by disorder when the Fermi energy is close to the band center.
Further, the transmission around the band center depends on the diameter of
these zero bandgap wires. We also find that the calculated small bias
conductance as a function of the Fermi energy exhibits a dip when the Fermi
energy is close to the second subband minima. In the presence of strong
isolated disorder, our calculations show a transmission gap at the band center,
and the corresponding conductance is very small.
","[{""version"":""v1"",""created"":""Fri, 18 Sep 1998 18:33:34 GMT""}]","2009-10-31"
