"adap-org/9812004","Rui Vilela Mendes","R. Vilela Mendes (Grupo de Fisica Matematica, Lisboa, Portugal)","Clustering and synchronization with positive Lyapunov exponents","10 pages Latex, 2 ps figures","Physics Letters A 257 (1999) 132","10.1016/S0375-9601(99)00319-9",,"adap-org nlin.AO",,"  Clustering and correlation effects are frequently observed in chaotic systems
in situations where, because of the positivity of the Lyapunov exponents, no
dimension reduction is to be expected. In this paper, using a globally coupled
network of Bernoulli units, one finds a general mechanism by which strong
correlations and slow structures are obtained at the synchronization edge. A
structure index is defined, which diverges at the transition points. Some
conclusions are drawn concerning the construction of an ergodic theory of
self-organization.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 13:58:47 GMT""}]","2009-10-30"
"astro-ph/9812331","Keith Horne","Keith Horne","Echo Mapping of AGN Emission Regions","Invited review to appear in ``Quasars and Cosmology'', 18-22 May
  1998, La Serena Chile. A.S.P. Conference Series~1999. eds. G.Ferland,
  J.Baldwin. (San Francisco: ASP) 23 pages, 10 figures",,,,"astro-ph",,"  Echo mapping exploits light travel time delays, revealed by multi-wavelength
variability studies, to map the geometry, kinematics, and physical conditions
of reprocessing sites in photo-ionized gas flows. In AGNs, the ultra-violet to
near infra-red light arises in part from reprocessing of EUV and X-ray light
from a compact and erratically variable source in the nucleus. The observed
time delays, 0.1-2 days for the continuum, 1-100 days for the broad emission
lines, probe regions only micro-arcseconds away from the nucleus. The continuum
time delays map the temperature-radius profiles of the AGN accretion discs. The
emission-line delays reveal radially stratified ionization zones, identify the
nature of the gas motions, and estimate the masses of the central black holes.
By using light travel time to measure the sizes of AGN accretion discs and
photo-ionized zones, echo mapping offers two independent ways to measure
redshift-independent distances to AGNs.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 17:17:23 GMT""}]","2007-05-23"
"astro-ph/9812332",,"V.I. Dokuchaev, Yu.N. Eroshenko, L.M. Ozernoy","GRB Redshift Distribution is Consistent with GRB Origin in Evolved
  Galactic Nuclei","LaTeX, 4 pages (incl. 1 figure), to appear in ""After the Dark Ages:
  When Galaxies Were Young (the Universe at 2<z<5)"", eds. S.S. Holt and E.P.
  Smith",,"10.1063/1.58626",,"astro-ph",,"  Recently we have elaborated a new cosmological model of gamma-ray burst (GRB)
origin (1998, ApJ 502, 192), which employs the dynamical evolution of central
dense stellar clusters in the galactic nuclei. Those clusters inevitably
contain a large fraction of compact stellar remnants (CSRs), such as neutron
stars (NSs) and stellar mass black holes (BHs), and close encounters between
them result in radiative captures into short-living binaries, with subsequent
merging of the components, thereby producing GRBs (typically at large distances
from the nucleus).
  In the present paper, we calculate the redshift distribution of the rate of
GRBs produced by close encounters of NSs in distant galactic nuclei. To this
end, the following steps are undertaken: (i) we establish a connection between
the parameters of the fast evolving central stellar clusters (i.e. those for
which the time of dynamical evolution exceeds the age of the Universe) with
masses of the forming central supermassive black holes (SMBHs) using a
dynamical evolution model; (ii) we connect these masses with the inferred mass
distributions of SMBHs in the galactic nuclei and the redshift distribution of
quasars by assuming a certain `Eddington luminosity phase' in their activity;
(iii) we incorporate available observational data on the redshift distribution
of quasars as well as a recently found correlation between the masses of
galaxies and their central SMBHs. The resulting redshift distribution of the
GRB rate, which accounts for both fast and slowly evolving galactic nuclei is
consistent with that inferred from the BATSE data if the fraction of fast
evolving galactic nuclei is in the range $0.016-0.16$.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:30:05 GMT""}]","2009-10-31"
"astro-ph/9812333","Teresa Montaruli","T. Montaruli and F. Ronga (for the MACRO Collaboration)","Search for a possible space-time correlation between high energy
  neutrinos and gamma-ray bursts","3 pages, 2 figures, Proc. of Gamma-Ray Bursts in the Afterglow Era,
  Rome, November 3-6 1998, submitted to Astronomy and Astrophysics (Supplement
  Series)",,,,"astro-ph",,"  We look for space-time correlations between 2233 gamma-bursts in the Batse
Catalogs and 894 upward-going muons produced by neutrino interactions in the
rock below or inside MACRO. Considering a search cone of 10 degrees around GRB
directions and a time window of 200 s we find 0 events to be compared to 0.035
expected background events due to atmospheric neutrinos. The corresponding
upper limit (90% c.l.) is 0.87 * 10^-9 cm^-2 upward-going muons per average
burst.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 18:32:39 GMT""}]","2019-08-14"
"astro-ph/9812334","Yannick Giraud-Heraud","R. Ansari, M. Auriere, P. Baillon, A. Bouquet, G. Coupinot, Ch.
  Coutures, C. Ghesquiere, Y. Giraud-Heraud, P. Gondolo, J. Hecquet, J. Kaplan,
  A. Kim, Y. Le Du, A.L. Melchior, M. Moniez, J.P. Picat, and G. Soucail","AgapeZ1: a Large Amplification Microlensing Event or an Odd Variable
  Star Towards the Inner Bulge of M31","4 pages with 5 figures",,,"PCC 98 23","astro-ph",,"  AgapeZ1 is the brightest and the shortest duration microlensing candidate
event found in the Agape data. It occured only 42"" from the center of M31. Our
photometry shows that the half intensity duration of the event6 is 4.8 days and
at maximum brightness we measure a stellar magnitude of R=18.0 with B-R=0.80
mag color. A search on HST archives produced a single resolved star within the
projected event position error box. Its magnitude is R=22.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 19:14:26 GMT""}]","2007-05-23"
"astro-ph/9812335","Robert J. Brunner","A.S. Szalay and R.J. Brunner","Astronomical Archives of the Future: A Virtual Observatory","14 pages, 3 figures, Accepted to a special issue of the Elsevier
  journal ""Future Generation Computer Systems""",,,,"astro-ph",,"  Astronomy is entering a new era as multiple, large area, digital sky surveys
are in production. The resulting datasets are truly remarkable in their own
right; however, a revolutionary step arises in the aggregation of complimentary
multi-wavelength surveys (i.e. the cross-identification of a billion sources).
Federating these different datasets, however, is an extremely challenging task.
With this task in mind, we have identified several areas where community
standardization can provide enormous benefits in order to develop the
techniques and technologies necessary to solve the problems inherent in
federating these large databases, as well as the mining of the resultant
aggregate data. Several of these areas are domain specific, however, the
majority of them are not. We feel that the inclusion of non-astronomical
partnerships can provide tremendous insights.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 19:19:58 GMT""}]","2007-05-23"
"astro-ph/9812336","Robert Ehrlich","R. Ehrlich","Implications for the Cosmic Ray Spectrum of a Negative Electron Neutrino
  Mass^2","Published in Phys. Rev. D 60, 17302 (1999), 4 pages and 3 figures","Phys.Rev. D60 (1999) 17302",,,"astro-ph",,"  The features and problems of a speculative model based on the electron
neutrino being a tachyon are discussed. The model is consistent with five
properties of the cosmic ray spectrum, and it predicts a flux of neutrons in a
narrow energy region centered on 4.5 +/- 2.2 x 10^{15} eV.
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 19:59:08 GMT""},{""version"":""v2"",""created"":""Tue, 2 Mar 1999 13:42:36 GMT""},{""version"":""v3"",""created"":""Sun, 5 Sep 1999 19:56:08 GMT""}]","2007-05-23"
"astro-ph/9812337","Dipak Munshi","Dipak Munshi (QMW, SISSA), Peter Coles (QMW, Univ of Nottingham),
  Adrian L. Melott (Univ of Kansas)","From Snakes to Stars, the Statistics of Collapsed Objects - I.
  Lower--order Clustering Properties","16 pages including 3 figures, MNRAS, submitted",,"10.1046/j.1365-8711.1999.02589.x",,"astro-ph",,"  The highly nonlinear regime of gravitational clustering is characterized by
the presence of scale-invariant form of many-body correlation functions. Useful
insights can be obtained by investigating the consequences of a generic scaling
{\em ansatz}. Extending earlier studies by Bernardeau & Schaeffer (1992) we
calculate the detailed consequences of such scaling. We generalise the
two-point cumulant correlators to a hierarchy of multi-point cumulant
correlators (MCC). We introduce the concept of reduced cumulant correlators
(RCC) and their related generating functions. Using analytical and diagrammatic
method we show that every new vertex of the tree representation of higher-order
correlations has its own reduced cumulant correlator. In the limit of large
separations, MCCs of arbitrary order can be expressed in terms of RCCs of the
same and lower order. We relate the generating functions of RCCs with the
statistics of {\em collapsed} objects. We develop the hierarchy for the
correlation functions of overdense regions. In this vein, we compute the
lower-order cumulants and cumulant correlators for overdense regions. Our study
shows how they vary as a function of the initial power spectrum of primordial
density fluctuations (abridged).
","[{""version"":""v1"",""created"":""Thu, 17 Dec 1998 23:48:36 GMT""}]","2009-10-31"
"astro-ph/9812338","Geza Gyuk","Geza Gyuk, Chris Flynn, and N. Wyn Evans","Star Counts and the Warped and Flaring Milky Way Disk","15 pages, submitted to ApJ",,"10.1086/307542",,"astro-ph",,"  This paper reports the star count predictions of warped and flaring models of
the outer Milky Way disk. These have been suggested as possible locations of
the lenses responsible for the microlensing events towards the Large Magellanic
Cloud (LMC). Three such models are investigated in detail and the theoretical
predictions are confronted with {\it Hubble Space Telescope} (HST) star count
data in 7 low latitude fields ($30^\circ < | b| < 40^\circ$). If the warped and
flaring disk population has the same characteristics as disk stars in the solar
neighbourhood, then the models can be unambiguously ruled out. Metallicity
gradients are well-known in disk galaxies and may cause the outer disk
population to differ in colors and luminosity from that locally. This effect is
studied using a simple ansatz for the variation in the color-magnitude relation
with position and while it is shown to lead to better agreement with the star
counts, upper limits on the contribution of the warped and flaring disk to the
optical depth are still below the value measured towards the LMC. Only if the
warp is very asymmetric or if the luminosity function changes strongly with
Galactocentric radius can the models be made consistent with the starcounts.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 00:17:55 GMT""}]","2009-10-31"
"astro-ph/9812339","Kenneth M. Lanzetta","Hsiao-Wen Chen, Alberto Fernandez-Soto, Kenneth M. Lanzetta, Sebastian
  M. Pascarelle, Richard C. Puetter, Noriaki Yahata, and Amos Yahil","Photometry and Photometric Redshifts of Galaxies in the Hubble Deep
  Field South Nicmos Field","1 page",,,,"astro-ph",,"  We present an electronic catalog of infrared and optical photometry and
photometric redshifts of 323 galaxies in the Hubble Deep Field South NICMOS
field at http://www.ess.sunysb.edu/astro/hdfs/home.html. The analysis is based
on infrared images obtained with the Hubble Space Telescope using the Near
Infrared Camera and Multi-Object Spectrograph and the Space Telescope Imaging
Spectrograph together with optical images obtained with the Very Large
Telescope. The infrared and optical photometry is measured by means of a new
quasi-optimal photometric technique that fits model spatial profiles of the
galaxies determined by Pixon image reconstruction techniques to the images. In
comparison with conventional methods, the new technique provides higher
signal-to-noise-ratio measurements and accounts for uncertainty correlations
between nearby, overlapping neighbors. The photometric redshifts are measured
by means of our redshift likelihood technique, incorporating six
spectrophotometric templates which, by comparison with spectroscopic redshifts
of galaxies identified in the Hubble Deep Field North, are known to provide
redshift measurements accurate to within an RMS relative uncertainty of (Delta
z)/(1 + z) < 0.1 at all redshifts z < 6. The analysis reaches a peak H-band
sensitivity threshold of AB(16000) = 28.3 and covers 1.02 acrmin^2 to AB(16000)
= 27, 1.27 arcmin^2 to AB(16000) = 26, and 1.44 arcmin^2 to AB(16000) = 25. The
analysis identifies galaxies at redshifts ranging from z near 0 through z
greater than 10, including 17 galaxies of redshift 5 < z < 10 and five
candidate galaxies of redshift z > 10.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 00:56:24 GMT""}]","2007-05-23"
"astro-ph/9812340","Jongsoo Kim","Alfredo Santillan(1,2), Jose Franco(2), Marco Martos(2), Jongsoo
  Kim(3) ((1)Computo Aplicado-DGSCA, UNAM, (2)Instituto de Astronomia, UNAM,
  (3)Korea Astronomy Observatory)","The Collisions of HVCs with a Magnetized Gaseous Galactic Disk","Accepted for publication in ApJ, 22 text pages with 8 figures",,"10.1086/307065",,"astro-ph",,"  We present two-dimensional MHD numerical simulations for the interaction of
high-velocity clouds with both magnetic and non-magnetic Galactic thick gaseous
disks. For the magnetic models, the initial magnetic field is oriented parallel
to the disk, and we consider two different field topologies (with and without
tension effects): parallel and perpendicular to the plane of motion of the
clouds. The impinging clouds move in oblique trajectories and fall toward the
central disk with different initial velocities. The $B$-field lines are
distorted and compressed during the collision, increasing the field pressure
and tension. This prevents the cloud material from penetrating into the disk,
and can even transform a high-velocity inflow into an outflow, moving away from
the disk. The perturbation creates a complex, turbulent, pattern of MHD waves
that are able to traverse the disk of the Galaxy, and induce oscillations on
both sides of the plane. Thus, the magnetic field efficiently transmits the
perturbation over a large volume, but also acts like a shield that inhibits the
mass exchange between the halo and the disk. For the non-magnetized cases, we
also uncover some novel features: the evolution of the shocked layer generates
a tail that oscillates, creating vorticity and turbulent flows along its
trajectory.
","[{""version"":""v1"",""created"":""Fri, 18 Dec 1998 02:45:23 GMT""}]","2009-10-31"
